id,title,description,link,image_link,availability,price,brand,gtin,condition,product_type,shipping_weight
AD5,Advent calendar sacks | Remember,Transform your Christmas countdown into a colourful celebration with these playful numbered sacks from Remember. Hang them along a mantle or staircase to create an eye-catching display that builds anticipation with bold German design flair.,https://www.homeandverse.co.uk/?product=AD5,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/AD5.jpg",in_stock,49.95 GBP,Remember,4260608099394,new,Home & Garden > Home Decor > Christmas > Gifts,0.5 kg
AD4,Advent calendar village | Remember,"Build your own festive scene with this enchanting village advent calendar, featuring 24 individually numbered buildings in Remember's signature bold style. German-designed to become a treasured tradition, each miniature structure reveals daily delights throughout December.",https://www.homeandverse.co.uk/?product=AD4,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/AD4.jpg",in_stock,29.95 GBP,Remember,4260608097512,new,Home & Garden > Home Decor > Christmas > Gifts,0.5 kg
SC20,Apron 'Lemon' | Remember,"Sunshine-bright and irresistibly cheerful, this lemon-printed apron brings Remember's signature German boldness to your kitchen. Quality materials meet playful sophistication, making meal preparation feel like a creative adventure.",https://www.homeandverse.co.uk/?product=SC20,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/SC20.jpg",in_stock,29.95 GBP,Remember,4260608099509,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
51381,Aroma lamp White | Räder,"Pure and luminous, this white porcelain aroma lamp showcases Räder's masterful German craftsmanship. Candlelight filters through the fine ceramic while warming your favourite essential oils, filling rooms with gentle fragrance and soft ambiance.",https://www.homeandverse.co.uk/?product=51381,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/51381.jpg",in_stock,22.95 GBP,Räder,4045289513816,new,Home & Garden > Home Decor > Candles & Fragrance > Lighting,0.5 kg
TV1,Balance game 'Tivoli' | Remember,"Colourful wooden pieces stack and balance in this engaging Tivoli game from Remember's German design studio. Part puzzle, part entertainment, it brings playful sophistication to gatherings while testing steady hands and strategic thinking.",https://www.homeandverse.co.uk/?product=TV1,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/TV1.jpg",in_stock,39.95 GBP,Remember,4260479650953,new,Home & Garden > Home Decor > Gifts,0.5 kg
BA01,Ball | Remember,"Bold, bright, and unmistakably Remember, this German-designed decorative ball adds an instant pop of colour to any room. A playful accent piece that celebrates the joy of unapologetic design.",https://www.homeandverse.co.uk/?product=BA01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BA01.jpg",in_stock,19.95 GBP,Remember,4260608092456,new,Home & Garden > Home Decor > Home Décor,0.5 kg
AK02,"Basket 'Colombo', large | Remember","Generously sized and boldly patterned, this large Colombo basket from Remember brings German design flair to practical storage. Vivid colours and quality construction transform everyday organisation into a stylish statement.",https://www.homeandverse.co.uk/?product=AK02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/AK02.jpg",in_stock,89.95 GBP,Remember,4260608098588,new,Home & Garden > Home Decor > Home Décor,0.5 kg
AK01,"Basket 'Colombo', small | Remember","Compact yet striking, this small Colombo basket showcases Remember's signature German boldness in a perfectly portable size. Vibrant patterns make storing everyday items feel like an act of creative expression.",https://www.homeandverse.co.uk/?product=AK01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/AK01.jpg",in_stock,69.95 GBP,Remember,4260608098571,new,Home & Garden > Home Decor > Home Décor,0.5 kg
KT03,Basket bag 'Light grey' | Remember,"Understated elegance meets German design innovation in this light grey basket bag from Remember. Versatile enough for storage or shopping, its sophisticated tone brings calm organisation with a contemporary edge.",https://www.homeandverse.co.uk/?product=KT03,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KT03.jpg",in_stock,39.95 GBP,Remember,4260608096027,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
KT01,Basket bag 'Lime green' | Remember,"A zesty lime green basket bag from German design house Remember brings joyful colour to everyday errands or beach trips. Crafted with playful sophistication, this versatile carryall makes a bold statement wherever you take it.",https://www.homeandverse.co.uk/?product=KT01,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KT01.jpg",in_stock,39.95 GBP,Remember,4260608096003,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
KT02,Basket bag 'Pale blue' | Remember,"Soft pale blue meets bold German design in this charming basket bag from Remember. A versatile companion for market runs, beach days, or simply adding a pop of colour to your daily routine.",https://www.homeandverse.co.uk/?product=KT02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/KT02.jpg",in_stock,39.95 GBP,Remember,4260608096010,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
HA210,Bath towel 'Algarve' | Remember,Wrap yourself in the vibrant spirit of Portugal with this Algarve-inspired bath towel from Remember. Bold patterns and plush quality transform your bathroom into a joyful retreat.,https://www.homeandverse.co.uk/?product=HA210,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/HA210.jpg",in_stock,49.95 GBP,Remember,4260479650939,new,Home & Garden > Home Decor > Home Décor,0.5 kg
HA220,Bath towel 'Lagos' | Remember,"Inspired by the sun-drenched Portuguese coast, this Lagos bath towel brings Remember's signature bold colour to your daily routine. Plush, absorbent, and unmistakably cheerful.",https://www.homeandverse.co.uk/?product=HA220,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/HA220.jpg",in_stock,49.95 GBP,Remember,4260479650946,new,Home & Garden > Home Decor > Home Décor,0.5 kg
HA240,Bath towel 'Nesa' | Remember,"Nesa wraps you in Remember's signature joyful aesthetic, combining bold pattern with plush absorbency. A bath towel that refuses to blend into the background.",https://www.homeandverse.co.uk/?product=HA240,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/HA240.jpg",in_stock,49.95 GBP,Remember,4260479651240,new,Home & Garden > Home Decor > Home Décor,0.5 kg
90042,Big Nativity Set | Räder,"Handcrafted in fine German porcelain, this generous nativity set from Räder brings timeless wonder to your Christmas celebrations. Delicate figures glow with poetic simplicity, creating an atmospheric centrepiece.",https://www.homeandverse.co.uk/?product=90042,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/90042.jpg",in_stock,52.95 GBP,Räder,,new,Home & Garden > Home Decor > Christmas,0.5 kg
18335,"Birthday greetings 9,4x5,9x11,8cm | Räder","A delightful porcelain greeting from Räder measuring 9.4 x 5.9 x 11.8cm, this German-crafted piece turns birthday wishes into a lasting keepsake. Display it long after the celebration as a gentle reminder of cherished moments.",https://www.homeandverse.co.uk/?product=18335,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18335.jpg",in_stock,17.95 GBP,Räder,4045289183354,new,Home & Garden > Home Decor > Gifts > Home Décor,0.5 kg
18331,Birthday LED light surprise 5x5x5cm 2xLR44 | Räder,"Tucked inside this 5cm porcelain cube lies a gentle LED glow waiting to surprise the birthday celebrant. Battery-powered and beautifully crafted by Räder, it brings a moment of magic to any special occasion.",https://www.homeandverse.co.uk/?product=18331,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/18331.jpg",in_stock,12.95 GBP,Räder,4045289183316,new,Home & Garden > Home Decor > Lighting,0.5 kg
BOC1,Boccia | Remember,Bring bold German design to outdoor gatherings with this vibrant boccia set from Remember. Playful sophistication meets quality craftsmanship for garden games that spark joy and friendly competition.,https://www.homeandverse.co.uk/?product=BOC1,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/BOC1.jpg",in_stock,49.95 GBP,Remember,4260479652483,new,Home & Garden > Home Decor > Gifts,0.5 kg
GT02,Bottle Bag 'Ocean' | Remember,"Ocean-inspired patterns wrap this bottle bag in Remember's signature bold German style. A gift within a gift, it elevates wine presentation with vibrant, conversation-starting design.",https://www.homeandverse.co.uk/?product=GT02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/GT02.jpg",in_stock,16.95 GBP,Remember,4260479651806,new,Home & Garden > Home Decor > Gifts,0.5 kg
FO02,Bottle opener 'Bella' | Remember,"Meet Bella – a bottle opener with personality, wrapped in Remember's signature vibrant patterns. German-designed to bring a burst of colour and joy to every cork-popping moment.",https://www.homeandverse.co.uk/?product=FO02,"https://res.cloudinary.com/dcfbgveei/image/upload/w_800,q_85,f_auto/products/FO02.jpg",in_stock,9.95 GBP,Remember,4260479650380,new,Home & Garden > Home Decor > Gifts > Tableware,0.5 kg
