id,title,description,link,image_link,availability,price,brand,gtin,identifier_exists,condition,google_product_category,product_type,age_group,gender,color,material,shipping_weight
AD5,Remember Advent calendar sacks - Colourful German Design,Transform your Christmas countdown into a colourful celebration with these playful numbered sacks from Remember. Hang them along a mantle or staircase to create an eye-catching display that builds anticipation with bold German design flair.,https://www.homeandverse.co.uk/?product=AD5,https://cdn.appdmbrands.com/products/AD5.jpg,in_stock,49.95 GBP,Remember,4260608099394,yes,new,Home & Garden > Decor > Seasonal & Holiday Decorations > Christmas Decorations,Home & Garden > Home Decor > Christmas > Gifts,adult,unisex,Red,,0.3 kg
AD4,Remember Advent calendar village - Colourful German Design,"Build your own festive scene with this enchanting village advent calendar, featuring 24 individually numbered buildings in Remember's signature bold style. German-designed to become a treasured tradition, each miniature structure reveals daily delights throughout December.",https://www.homeandverse.co.uk/?product=AD4,https://cdn.appdmbrands.com/products/AD4.jpg,in_stock,29.95 GBP,Remember,4260608097512,yes,new,Home & Garden > Decor > Seasonal & Holiday Decorations > Christmas Decorations,Home & Garden > Home Decor > Christmas > Gifts,adult,unisex,Red,,0.3 kg
SC20,Remember Apron 'Lemon' - Colourful German Design,"Sunshine-bright and irresistibly cheerful, this lemon-printed apron brings Remember's signature German boldness to your kitchen. Quality materials meet playful sophistication, making meal preparation feel like a creative adventure.",https://www.homeandverse.co.uk/?product=SC20,https://cdn.appdmbrands.com/products/SC20.jpg,in_stock,29.95 GBP,Remember,4260608099509,yes,new,Home & Garden > Decor > Seasonal & Holiday Decorations > Christmas Decorations,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,Multicolour,,0.3 kg
51381,Räder Aroma lamp White - German Porcelain Décor,"Pure and luminous, this white porcelain aroma lamp showcases Räder's masterful German craftsmanship. Candlelight filters through the fine ceramic while warming your favourite essential oils, filling rooms with gentle fragrance and soft ambiance.",https://www.homeandverse.co.uk/?product=51381,https://cdn.appdmbrands.com/products/51381.jpg,in_stock,22.99 GBP,Räder,4045289513816,yes,new,Home & Garden > Decor > Candles,Home & Garden > Home Decor > Candles & Fragrance > Lighting,adult,unisex,White,Porcelain,0.3 kg
TV1,Remember Balance game 'Tivoli' - German Family Game,"Colourful wooden pieces stack and balance in this engaging Tivoli game from Remember's German design studio. Part puzzle, part entertainment, it brings playful sophistication to gatherings while testing steady hands and strategic thinking.",https://www.homeandverse.co.uk/?product=TV1,https://cdn.appdmbrands.com/products/TV1.jpg,in_stock,39.90 GBP,Remember,4260479650953,yes,new,Toys & Games > Puzzles,Home & Garden > Home Decor > Gifts,adult,unisex,Multicolour,Wood,0.8 kg
BA01,Remember Ball - Colourful German Design,"Bold, bright, and unmistakably Remember, this German-designed decorative ball adds an instant pop of colour to any room. A playful accent piece that celebrates the joy of unapologetic design.",https://www.homeandverse.co.uk/?product=BA01,https://cdn.appdmbrands.com/products/BA01.jpg,in_stock,19.90 GBP,Remember,4260608092456,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,,0.3 kg
AK02,"Remember Basket 'Colombo', large - Colourful German Design","Generously sized and boldly patterned, this large Colombo basket from Remember brings German design flair to practical storage. Vivid colours and quality construction transform everyday organisation into a stylish statement.",https://www.homeandverse.co.uk/?product=AK02,https://cdn.appdmbrands.com/products/AK02.jpg,in_stock,89.90 GBP,Remember,4260608098588,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,,0.3 kg
AK01,"Remember Basket 'Colombo', small - Colourful German Design","Compact yet striking, this small Colombo basket showcases Remember's signature German boldness in a perfectly portable size. Vibrant patterns make storing everyday items feel like an act of creative expression.",https://www.homeandverse.co.uk/?product=AK01,https://cdn.appdmbrands.com/products/AK01.jpg,in_stock,69.90 GBP,Remember,4260608098571,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Home Décor,adult,unisex,Multicolour,,0.3 kg
KT03,Remember Basket bag 'Light grey' - Colourful German Design,"Understated elegance meets German design innovation in this light grey basket bag from Remember. Versatile enough for storage or shopping, its sophisticated tone brings calm organisation with a contemporary edge.",https://www.homeandverse.co.uk/?product=KT03,https://cdn.appdmbrands.com/products/KT03.jpg,in_stock,39.95 GBP,Remember,4260608096027,yes,new,Home & Garden > Lighting > Lamps,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,Grey,,0.3 kg
KT01,Remember Basket bag 'Lime green' - Colourful German Design,"A zesty lime green basket bag from German design house Remember brings joyful colour to everyday errands or beach trips. Crafted with playful sophistication, this versatile carryall makes a bold statement wherever you take it.",https://www.homeandverse.co.uk/?product=KT01,https://cdn.appdmbrands.com/products/KT01.jpg,in_stock,39.95 GBP,Remember,4260608096003,yes,new,Home & Garden > Decor > Decorative Accents,Home & Garden > Home Decor > Gifts > Home Décor,adult,unisex,Green,,0.3 kg
